Solution_Quality,Solution_Allocation,AVG_Exploration,AVG_Exploitation
119307971469.91028,"[[  9.17768405 -44.68365236  44.99846395 -78.79261484 -87.36512836
   84.77784894 -54.25859977  70.36500784 -64.95476203 -96.69899579
  -18.48792224  36.64470675 -26.72837328   1.70277588  -6.89201251
  -20.82170061 125.70068802 -77.78369421 111.90437698 117.06519166
  -46.83846589 -57.40282316 -26.07401188 -42.47111117  95.11422585
   -7.73078135   8.04817089 -89.22517832 -12.65518871 130.80715813]]",0.9618331924955521,0.03816680750444789
84373514885.49443,"[[  11.84217917   94.31228708   18.08138278  -38.0376967     1.29985285
  -103.55299679  -30.36211944   91.41315452  -83.00116689  -51.63069511
    31.40674117  -46.51207971   74.85485745   71.98656495   31.32375595
   120.47610509  -77.86109863   35.81219759   -2.26351528   16.97580358
    36.10604506   49.49416525   45.78196776   61.40827706   28.22381071
    27.69376197  -73.03306905   35.54162712 -101.63118972  122.07372053]]",0.7882882258491183,0.21171177415088166
134384501389.94075,"[[ -86.08009879  -23.65382994  -60.01671417  127.13029582   21.44700948
   -65.08854345 -106.19832265   25.86771978   29.84472568   50.42639643
   -58.97622507   62.16831471  100.5567319   -70.6054829   -18.70146356
   -15.12919981   92.78473274  -48.63664765  102.13274674  -63.3722264
    52.96958724   58.85560112   38.13110059   -9.60898222 -134.21573164
   -62.53130082  -50.4055606   -21.39110388   69.70214414  -75.23867809]]",0.9883009837192239,0.011699016280776136
119910304783.1732,"[[  67.20517327   67.72663522  -82.22487811  -49.83260259  -87.31833481
   -87.10229172  123.54561759  -23.00419598  -47.31756721  -55.94012991
    35.00435513 -125.40160054   83.37976729   21.54521397 -119.39163695
    38.99441525  112.32709129 -100.00481687  -18.63920992  118.20996797
    31.21165336  -18.88080779   81.37550621   72.83225746   78.52638191
   -39.72288925  -20.9012659    90.34737742  106.94616892   99.51210391]]",0.9613598916645717,0.03864010833542835
156485783995.73962,"[[  66.74426702  106.38332968 -111.81045774  -47.54679192   -2.18655096
  -112.4787028   -24.6041348    85.18323437  -71.49738836  -36.11478742
  -124.51197106  -18.3014965     1.54991813   98.62996508  -34.17707608
    11.9754555    16.64066232   -1.24512498  114.76873709   14.75856222
   -83.38347043   75.89098173   77.81803063  124.64297008   -9.58023893
   -29.53518401  -11.91500237 -125.02984343    5.3366398  -115.68445045]]",0.8628555069360024,0.1371444930639975
122050582641.03563,"[[  73.31138919   51.35674955   58.06602031    2.39003814    1.35915678
    25.47666557  113.81127148  -29.24357835   84.08688951 -109.00197047
   -48.91453077 -112.89085191  -15.69056352   74.54838318  -25.34227243
     5.01181526  -81.64747969  -30.02420847  -81.18983966  -64.42420386
  -127.57333792   92.91490052  -12.87968587   44.26717678  -76.66541762
   118.57433417  -59.87377373   64.1515956    45.08721279   68.1823743 ]]",0.7421939549189794,0.2578060450810205
115143791123.51212,"[[ -93.58186263   24.13747261  -95.37564527   56.3293412  -131.17222282
   -28.74184136  105.80968966   91.59244606  -98.88208701   80.14623435
   -77.73245533  -73.1657604    59.43102795 -105.82973108   36.816873
   130.82064152   57.31904999  -10.48425376   50.25321734  -55.94666121
    46.36141235   71.43679304  -69.0662407   -61.1751882   -35.71987996
    89.1886125   -45.41344091  -18.44693757  102.67768352   17.59942028]]",0.979163536208014,0.020836463791986157
131080144108.21669,"[[  14.17144052   18.93219257   17.56254783  -60.71210286   12.5509711
   -13.49067699   35.74347652 -118.52820525 -111.93799188   40.17674649
   103.95584315   -2.90694054   93.88453382    6.08688307   11.46905119
   -86.27282873  -94.12640072 -126.62792256  -55.60821255  -56.20512155
   -22.88040231  119.19025495   19.34178824   48.64558196  -98.61559011
    78.2541348    93.91755295   85.214281    -58.46637979   12.13535536]]",0.8457271000736598,0.15427289992634013
86094954797.43217,"[[  21.74659466  -47.92453656 -116.95245257  -89.88049291  118.54125208
   -17.59197324   53.51558185   83.02161443   -1.81285614  -17.83043529
    81.36772269 -116.54493288   40.12635542  -34.71469947  -11.55707251
   -35.99543842  -16.52453672  -22.89030389   26.11616179  -19.98888546
   -49.41699278  -36.09548078   31.78135895  -56.64602572  -64.23798496
    91.05992848   67.42913282   43.11907521  -14.92760498 -101.62368718]]",0.9110981488194559,0.088901851180544
92489132528.41837,"[[  62.55593471   97.21407223   41.12456411  -99.34598873  -87.59348804
   -79.18259139   14.92325288   77.99777166   81.28532441  -79.59647271
   133.01212819  -52.49238242  -65.8218665   -81.95468695  -82.22140538
   -86.68003683   49.13307679  -59.27215518  -12.96167719   24.25688991
    22.91654032  -50.24923507 -112.52459187  130.32656998    9.64155826
    -9.6618566   -46.53604524  -47.13505939  -27.73332725   70.38956267]]",0.9746509086487604,0.025349091351239767
