Solution_Quality,Solution_Allocation,AVG_Exploration,AVG_Exploitation
90755495039.88081,"[[  43.99974782  117.78980498   33.60144074   87.58124044 -126.12261859
     5.96012033  -11.421678     -9.19308089  -93.52336116   34.87840473
   139.90844267 -108.98791622   42.20842554 -116.99090021  -40.41700992
   -75.60723031   -8.29678125  -98.67827803  -27.54493241   45.93995241
    35.94752534  108.8973166   -81.34017665  -42.38056337   14.17152378
   -81.53329829  -33.44749719   36.23588121   86.23107768    3.49876458]]",0.9817339096157802,0.018266090384219856
138739321579.83252,"[[114.65947044 -10.36060578 -26.06827052 -53.62684536 -57.52933919
   23.88221476 128.76792892 -36.25972617  75.31193428 -12.06352715
   28.35207758  87.97816827  65.67155476  92.65781327  48.80059687
   19.09344439   9.43132055  16.24713745 -72.73902919 -62.59141484
  -97.36092562   8.76658815  58.52251999 -61.31606487 -89.3926377
   37.08768828  74.91952806   4.97196671 104.91307106  48.66607798]]",0.6329833143247416,0.36701668567525836
122586855189.6883,"[[ -69.18820376  -21.90983122  -44.5387785   -91.60673325  -18.34032159
    71.19699123   49.62497612  -92.18376463 -105.20314176   10.15012244
   111.22013114  -34.40252364   14.92989721 -114.04137495   80.59231701
    -4.55015209  107.57060634 -104.31318595   50.38081032   -4.24051037
   -33.92071438   34.68604894  -13.34101278   44.12293792   56.43984572
     0.60643413   87.80512312  132.58027856  -53.3055859     4.28880436]]",0.9137183692461471,0.0862816307538528
125771430240.35638,"[[   6.55411515   72.96903351 -134.20590981  -43.62040759  112.93641705
   -63.04883556   -3.30329938   97.51486939   14.44111873   89.28756709
    -7.54694693   53.41432752  -20.89761376 -116.96205786  -11.58952204
   -51.00758212    1.06953859   10.82233808   11.97132494    6.3766072
    22.35958789    5.97216283  -35.7229277  -108.50059846  -68.02323958
    71.62530253  -68.75259553   48.75857191    3.95411369   68.96680093]]",0.9090431424218426,0.09095685757815745
153429975965.05057,"[[ 101.01750323   47.29980052  -44.27659363   84.36287831   28.75597314
  -106.22939399   35.05184451   96.58082179    4.43321367   42.63571631
    83.11903463   66.07949732   54.8648841    48.78430421  -55.16334043
    90.85353683  -97.65434935  -21.53167274  -23.76756481  126.19612198
    65.09980261  -60.29513662   -8.06816275  120.85927362   78.78092697
    54.99246565   17.1246178  -123.88756996   80.40580101   83.93206858]]",0.9543252223935309,0.04567477760646919
141320577604.73453,"[[ 19.44659588 -15.58768744  67.58853259 -49.51128179 -55.73006672
  -31.37936866 -21.30612222  59.40362808  97.52403678 -59.98997276
   14.26003319 104.08643584 -28.7126077  -11.39970637  -8.43376097
   31.12766063  47.96457429   7.54949318 -28.1182984   28.8772501
   36.69232126 -64.87838462  -8.95666413  50.95572636  40.92616995
  124.50009031 -78.00597454 115.701214    87.86937135 -89.15843341]]",0.2718915285375923,0.7281084714624076
131080108461.40082,"[[-107.56137092   83.67896458   90.92850698   59.06453203  -37.83248076
   -27.41743971   56.61696975  -60.27913083  -26.50005761  -48.46402664
   -26.85626775   42.16549878  -53.33442442   71.74089837   17.50296908
    -1.57097961   49.79835507   84.11451438   27.60551989  103.72013458
   -40.98366028  123.93778357  -61.23552522   83.5705279   -39.39703557
   -50.94184189  125.25649659    6.46996548 -100.82825635  -30.46798067]]",0.5146524725100258,0.4853475274899743
132105656592.87328,"[[   2.88043005  -85.02906377  -80.28523132   76.69259981   28.36906016
    98.8946236    38.47148273   16.3651446    50.80587427  -11.01727225
   -78.50771364  -36.38159198  -18.20603499   18.06830358   27.8798844
    45.65480054  -32.09976079 -115.70570116   -8.11829849   77.27610891
   -91.45382876  -96.38921927  -72.46573212   78.31708628  -60.43914657
   -67.81760795  -99.34320057   60.64344075   -3.74703697  114.09336361]]",0.4236569011424504,0.5763430988575496
99936211449.64311,"[[-118.33685497  107.02699296  -76.86076032  -76.57724056   40.9191616
   -14.47527777  -16.83489283  -76.24627755  -44.59575672 -117.11295337
   -10.99410378    2.83517884   -6.82517523  -69.39629677  111.15347167
   135.4233872     3.61175514  -25.54981947  -75.03771184   25.10869369
  -128.83240982  102.91882134  -50.43473776   88.33242005  -44.90010926
   -27.18094939   11.41523277   29.90712036  -26.75894777  -63.58291047]]",0.7014169264624559,0.29858307353754426
95494628508.48723,"[[-117.70853982   54.486066    -46.34997375  -15.58116913  -50.21239058
   -14.63542109  -60.87929665  -80.60385537  -33.13352154 -117.55069011
   -12.63731725  -56.07795207  -48.97130527  -94.22752335  -70.73786277
    86.42804387  118.75808833   80.86245725  -40.59589964   48.01525426
   -37.48686389   78.89176439   83.45062478   30.20456321    5.31415172
   -87.51908398   46.82878711   34.84325659  100.33794321   -1.39053469]]",0.6490839304917816,0.3509160695082184
