Solution_Quality,Solution_Allocation,AVG_Exploration,AVG_Exploitation
3.155906262691539e+21,"[[ 2.75804338  1.32737935  4.39215514 -4.99841829 -1.61366649  4.67158731
   3.8349689   4.57157797 -1.22267898  4.477862   -2.91593182  4.53446305
   4.48639271  2.27335843 -4.74490267  3.36214995 -4.14024602  3.98343912
   4.99971553  4.89082192  4.23569692 -3.31559563 -4.94676565  3.00397768
   2.59719734 -1.86804075 -2.09858028  2.77096839 -2.86670567  2.30310984
   4.42985299  1.66768451  4.48871165  2.64591823  3.94654605 -0.15768175
   3.26953037  3.06051757 -2.4508787   2.47238166 -2.53387896 -2.41784252
  -2.32215277  2.36392559  2.57490194  1.3511712   2.94362604  2.0047053
  -0.49683057  2.02538179]]",0.5796050691632225,0.42039493083677754
1.0278975159381774e+19,"[[ 2.80329582  2.27496373 -0.3926097  -4.91175209 -4.87979668  0.75263323
   3.95389622  2.17041771 -0.28856111 -0.69746258  1.56933798  4.44952609
   2.64058939  2.10942793  1.068516    3.51390273  0.2300808   4.51768744
   4.95042634 -0.5028185   2.28709515  2.83511299  1.7630838   3.65778698
   1.59824537 -0.65077865  0.28587551  2.00173362  2.37624535 -0.57193038
   3.27936967  2.00457783  1.50390808  2.95544219  1.16840696  0.23019862
   1.87700968  1.82333225  1.64932423 -1.49233637 -0.41056682 -1.38583284
   3.03437852  2.63006356  2.38744337 -0.73516435 -0.41640175 -0.23816676
  -0.49280511  0.64516951]]",0.6188318983931136,0.3811681016068865
4.217646052845924e+21,"[[-0.82467416 -1.16194905 -4.14631079  2.21990746 -2.47743726 -3.22574077
   3.01804919 -0.1894443  -1.65792782  4.20866701  3.94631631  3.21944788
  -2.58344046  4.58884738 -4.55059905 -2.44151524 -3.31023465  3.95599597
   3.85365978  1.61945058 -2.03928822  4.93756966 -4.85707081 -4.58145431
   3.8996442   2.87464356 -1.10174051  4.99084925  4.95933101  4.97606323
   2.42815857  0.6310849   0.53859484 -2.2263043   3.19151695  3.25875387
   2.16552285  4.11209703 -1.02457757  2.62840881  3.09222085  1.29427343
  -3.22519018  1.15903992 -0.21852323 -0.75547864  0.98802611  2.96168917
   1.92626802 -0.77796983]]",0.3233262036868518,0.6766737963131484
3.2283752291758244e+21,"[[-1.23947052e-01  4.42828638e+00  9.69673257e-02  1.45043477e+00
  -4.36112172e+00  2.10780856e-01  1.56947342e-03 -3.48801717e-01
   3.99051518e+00 -5.94700929e-01 -4.64076683e+00 -3.80880690e+00
  -3.89614114e+00 -3.33226242e+00  3.08512669e+00  4.09743964e+00
   1.10328621e+00  5.48833858e-01  4.58233847e+00 -4.20032606e+00
   3.39474707e+00  3.15860311e+00 -3.00416885e-01  1.97909748e+00
  -6.00484270e-01  2.99104542e-01 -8.64934880e-01  4.98095494e+00
   3.84209783e+00  4.38439857e+00  4.57544346e+00  1.61728627e+00
  -2.74378045e+00 -3.82447769e+00 -2.47925990e+00 -1.28440669e+00
   3.82349486e+00 -1.01981785e+00  1.68722800e+00  3.68390096e+00
   1.55551923e+00 -7.28675028e-01  1.01247274e+00 -1.53799935e-01
  -2.22824258e+00 -2.00917161e+00 -1.63893514e+00  2.07888041e+00
  -2.09807613e+00 -9.82437762e-01]]",0.376066214148898,0.623933785851102
1.509443976964255e+22,"[[ 0.18894513  0.87648369  3.73934544  2.28587858  1.09110168  4.99973349
   2.93277958  1.04681694  0.91405818  4.99444728 -4.80256052  1.33250078
  -3.20867348  2.52316021  4.89496953  0.95852469  1.14336292  2.12991059
   0.72291666  1.67892893  1.33763128  4.56141858  0.02858405  0.20439973
   3.31301113  0.7444916   4.7277358   0.7552331   3.86497491  0.38636873
   1.53745733  1.88813676  4.94861903  1.25185329 -2.82308769  1.50948954
   0.63675347  0.03479118 -0.54106743  2.31290234 -1.64547471 -2.54702183
  -0.64451066  0.81868957  0.83275592  2.71959736  1.62723505  0.35013776
   0.53369227  0.45316464]]",0.6410611536642932,0.3589388463357068
1.1158653593062973e+22,"[[ 3.32609107 -1.83293354  0.10485818 -3.11348579  4.9762794  -0.92857955
   4.99526843 -0.89529771 -2.72057723  4.85413552  1.80896628 -2.44664617
  -4.17591691 -0.00666161 -3.64809246 -1.63679846  4.33279464 -1.23492405
   2.68381831  3.75044804  3.62460107  4.08983746 -2.56648631 -4.99953156
  -2.56269932  1.02807254 -2.957831   -4.86866461 -0.07499678 -1.00437914
  -3.13501348  1.08068591  3.60711886  3.32785143 -2.86741073 -1.15945123
   3.17280847  3.86427531  2.90807183 -2.65327614 -2.38896902 -0.96176982
   3.77520003 -1.62883752  2.25438478  0.30642109  2.47244969  1.51860638
  -1.96095884 -0.33114127]]",0.44556809497902344,0.5544319050209766
1.8245000690602307e+18,"[[ 3.98648263  0.31594946  1.68949859  2.45113878  0.02493183 -3.93149674
   0.13765619 -1.86637545  0.64020862  3.18893724  2.23874137 -3.76180248
   4.29956713 -0.99559781  0.8433958  -3.57396308 -4.04432247 -2.65347107
  -0.48234633  2.31046313  3.25089628  0.91912901 -0.32287465 -2.10235284
   0.06360812 -3.36962737  2.48444684 -3.45155429 -2.27218068 -2.22723208
  -2.81444962  1.38667033 -0.08298311 -3.12912648  3.43202893 -0.94165276
  -2.92411403 -0.62146042  0.15721901  2.82088292 -0.17182896  0.22065565
  -2.47590051  1.86126806  0.85604138 -0.05455397 -0.09908485  1.21830523
   1.02269233  0.15604501]]",0.606031751510733,0.39396824848926704
8.388346014015544e+21,"[[ 3.76097631 -4.96717002  1.62747546  1.73458274  0.82134102  4.87311343
  -3.79850656 -1.93464733 -3.66431016 -1.42992924  1.89679832 -4.13909519
  -4.05550358  4.09580883 -1.92354531 -0.44277942  1.47006682 -2.47269478
  -0.68870824  4.31791939  3.66262999  4.94953599  4.99331613  4.85602056
  -0.96343329  1.43070764  0.28155494 -2.9795993  -2.44388798 -3.06848654
   3.45388627  0.71463999  2.4376292   3.36011724 -3.99028364 -3.68585834
  -1.65343622  0.86914611 -2.25463393  3.10835533  2.00739801 -2.14580636
   3.32824899  0.25568056  0.67662506  1.06791677  2.18380216 -0.1209896
   1.00250391  0.78768185]]",0.31860411998115706,0.6813958800188428
1.3713427609745862e+21,"[[-3.49189879  4.36277127  0.0548933   1.35523564  3.08969847 -3.92420786
  -3.33645144 -2.09913176  4.80979118  2.61170566  3.69197075  4.73355841
   3.00521825  2.22623396 -3.03210552  1.87032231 -0.32007419 -3.83054843
  -3.10012878  2.60551416  0.66735479  1.11594293  2.83366929  0.19928899
  -4.27201075 -4.91501071 -1.73757022  1.98985037 -0.99683814  4.94655917
   4.72230541 -2.00465865 -2.18112196 -1.76347733  1.65222369  1.4998254
   1.99463059 -1.38334489  2.78600264 -3.36996026  3.22730513  0.74814294
   2.59388657 -1.43065945  1.30593878  0.10370281  0.43243912 -1.63756149
   1.66382613  2.73104228]]",0.59618281365044,0.40381718634955993
4.3074266469359524e+21,"[[-2.32656912 -4.7968247  -4.95999497 -4.06942326  2.60191916  0.5002436
   2.0054635  -4.95273034 -3.31681593  0.48919733 -1.08858294 -4.91109104
  -3.71634729 -1.81810692 -0.83737089 -2.98644324 -0.09011616 -4.95053371
   4.97614196 -3.2357544  -3.96126715  0.82920913 -3.55898655 -1.83604792
  -4.01720569  0.79178304  2.59623102 -1.11395458  0.86669984  1.91420913
  -4.89721359  4.35755814 -3.23413989  4.62981851  0.54712434 -3.77644429
  -0.1489601  -0.27980758  0.4571919  -1.74441356  0.2579353  -2.98266137
   1.07746524  2.81536138 -2.22973462  2.26825233  0.70670961 -2.16011445
   1.93260907 -2.66970246]]",0.630974391096048,0.3690256089039519
3.9557889782843294e+21,"[[ 4.93514916  2.45790884 -3.10507566 -4.93948097  0.07137858 -2.42928162
   1.3557884   2.01469698  0.3567447  -0.1736468  -3.83124732 -1.79871531
  -4.71465736  4.69498919 -1.00024302 -3.83143541 -3.82808285 -0.2165747
  -4.3645611  -0.19035201 -3.63786968  2.58818195  4.57153457  0.22737499
  -3.39240235  1.16867213 -0.92486388  2.45399789 -1.33721491  3.55146905
   0.28830341  4.15203278  4.07344191 -2.50749832  1.45885449 -2.91287365
  -3.3827902   2.34646893  1.43535998  0.93438782  0.6716989  -0.15790425
  -3.23821324 -0.55430001  1.74866963 -2.33985734 -2.96558107  0.44973042
   1.44708434 -1.24365059]]",0.39288483596798757,0.6071151640320125
4.44040845288587e+17,"[[-0.67563396  4.97535752 -0.03264068  4.26034492  1.14727665  3.63091825
  -1.64806322  1.7626104   1.91285894  4.26345298 -0.1252463   3.80876659
  -0.99424387 -4.73212904  4.10872066 -1.50350666  1.61853245  0.30046069
   2.15156766 -3.53646472  3.72704405  1.81975561 -0.16689732  1.76021319
   3.07712259 -1.46321627  4.95657664  3.40186193  2.65038646 -0.78214597
   0.78685081  0.61748512  1.98271414 -0.20878577 -3.12187154 -0.46373772
   0.47618678  2.03455609  1.97018756 -1.51788552 -0.4104043  -1.04068362
  -1.31109146  1.7244646   1.10351834 -0.5579794  -0.30119381  2.29531144
   1.92108658 -0.50421708]]",0.650435196029583,0.3495648039704169
1.374924117290679e+18,"[[ 3.53260511  1.71534995  0.42151901  1.7527551  -2.98771878  1.95587354
  -0.83227039  0.16490129  0.38723813  4.45007289  1.31358387 -0.3783662
  -3.17970643  1.20687672  0.62946073  2.05606891 -0.16659866 -0.26918328
   2.06744299  0.3698247  -0.079419   -4.1403731   1.98817511  1.60409638
   0.65799312  1.63683135 -0.22169338  0.47329164  2.46244771  3.15783122
   1.17398677  0.96854042 -0.52852059 -0.10694371  2.71479126  0.55983326
  -0.85062371  0.66271874  0.21645664  2.21075511  2.84977019  0.37981702
   0.17163298  2.5890206   0.81261811 -2.05803722  1.33892117 -0.71355802
   2.01504607 -1.28598978]]",0.6724464468865233,0.3275535531134768
2.235711776485232e+18,"[[ 3.96310666  2.90362753  4.5757415   2.67110135  3.05737136 -0.27424275
  -4.50974016  0.8266878   2.24041046 -0.041795    0.88972011  0.46434256
   0.51808074 -0.3603092   0.35428386  4.20112866 -0.34170261  1.23513743
  -4.66359791  1.32227621  0.21646033 -0.23894064  2.93694998  0.92907287
  -0.31516905  0.08404444  2.89669292  4.79287527 -1.07587471  3.67552094
   0.0641779   2.86388549 -3.24686426 -0.11857563  0.63681783  0.36355119
  -0.35609496  0.51831453  0.35612074  2.17791834  2.0932482   0.20321322
  -2.32138098  0.62978914 -1.56798961  1.26046466  0.71588101  0.06067642
   0.32096843  0.68678609]]",0.3131085996024239,0.686891400397576
