Solution_Quality,Solution_Allocation,AVG_Exploration,AVG_Exploitation
2.25805970089513e-09,"[[-1.51869689  5.44600305  0.77287113  6.06967078  6.25937438  5.79459113
   6.22203622  5.06079042 -0.95444571  3.61151214  1.54722632 -2.5309826
  -0.80590215  6.27700975 -1.11200396  6.2770595   1.71668835  6.27692207
   6.17261725  1.19012961 -1.47718542 -3.73041551  1.9201663   6.28155248
   5.73309603  6.2429383   0.97249306  4.94182946  6.26653586  5.23509135
  -0.80624136  4.7769972  -1.97193031 -0.61165748  1.0095564   6.27970666
   1.32601443  4.07644774  6.25008106  6.28259165  1.2771589   6.25757819
   2.65658127 -2.50714606  2.41604411  3.20008566  2.83203548 -2.54119621
   1.06424981  6.2741646 ]]",0.988559433543819,0.011440566456180879
4.417035923328971e-09,"[[ 4.43183576  3.12451581  1.18705766  5.7542868   5.72392901  3.28406954
   6.28307731 -0.61093818  3.76690871 -0.9977943   5.02268073  4.17633717
  -2.16485706 -1.30166327 -0.94894847  6.27876596 -0.68207401  0.02054963
  -5.81365154  6.2559807   1.24138713  3.85360512  1.43353956 -1.18533934
  -1.13753311 -2.80825537  0.42788679 -0.84574437  6.22208262  1.40327411
   1.83050137  2.95715583  0.95311396 -3.398937    4.90353992 -0.91621318
  -0.06869188  5.02200129  0.21532678  0.68519593 -3.00445017 -1.69025772
  -3.72838349 -0.84865559  6.26409418  3.85943669  5.14434469  6.27335598
  -1.45261022  5.33346625]]",0.965778935117982,0.03422106488201816
1.4413354097090275e-20,"[[-1.21663401 -1.21657551 -1.21649945 -1.21653186 -1.21658829 -1.21659191
  -1.21650097 -1.21656008 -1.21656466 -1.21650484 -1.21651415 -1.2165231
  -1.2165091  -1.21652796 -1.21650198 -1.21650214 -1.2165764  -1.21653128
  -1.21654188 -1.21652329 -1.21650026 -1.21700591 -1.21649941 -1.21659482
  -1.21653485 -1.21651027 -1.21652834 -1.21660853 -1.21650175 -1.21650155
  -1.21650564 -1.21655753 -1.21661815 -1.21660313 -1.216503   -1.21654434
  -1.21652633 -1.21649937 -1.21652091 -1.21657696 -1.21655216 -1.21650961
  -1.21656642 -1.21660672 -1.2165798  -1.21717061 -1.21654573 -1.2165768
  -1.21654771 -1.21658957]]",0.9741837184995107,0.02581628150048931
6.274010805323811e-20,"[[-6.26958272 -6.26966559 -6.2695828  -6.26961307 -6.26959276 -6.26961271
  -6.2696124  -6.26959464 -6.26958339 -6.26960201 -6.26958296 -6.2696388
  -6.26983067 -6.26959184 -6.26959398 -6.26958518 -6.26990223 -6.26962102
  -6.26962528 -6.26969979 -6.26961346 -6.26961456 -6.26958277 -6.26964585
  -6.26958514 -6.26964122 -6.26972078 -6.26958467 -6.26958295 -6.26960151
  -6.26958309 -6.26960945 -6.269718   -6.26960969 -6.2696961  -6.26971039
  -6.26965674 -6.26961611 -6.26961943 -6.26986321 -6.26962285 -6.26958317
  -6.26961252 -6.26966095 -6.26966072 -6.26958851 -6.26958401 -6.26965652
  -6.26963178 -6.26971479]]",0.9794797764349314,0.020520223565068565
1.3238715338961557e-20,"[[-1.27483156 -1.27482911 -1.27484564 -1.27484221 -1.27484355 -1.27482996
  -1.2748455  -1.27484547 -1.27483913 -1.27483974 -1.27484553 -1.27483835
  -1.27483206 -1.27484564 -1.27483452 -1.2748408  -1.27483242 -1.27484534
  -1.2748374  -1.27482791 -1.27482928 -1.27481767 -1.27484419 -1.27484479
  -1.27484501 -1.2748317  -1.27482695 -1.27483323 -1.27484488 -1.27484479
  -1.27484565 -1.27484563 -1.27482993 -1.27483522 -1.27484394 -1.2748377
  -1.2748456  -1.27484117 -1.27484515 -1.27483455 -1.27484109 -1.27484552
  -1.27484418 -1.27484478 -1.27484326 -1.27484341 -1.27484472 -1.27483572
  -1.27483271 -1.2748393 ]]",0.853522076865677,0.14647792313432273
3.981394881679992e-09,"[[ 2.707256    1.48432753 -1.01448487 -1.88887722  0.26426984  0.28046331
   4.56799392  6.26451907 -2.9353004   6.27060952  3.20443214  5.71324039
  -1.20035708  6.25469663  2.43547051  2.52578985  2.03343991 -1.69076121
   2.21028888  3.72970082  4.41859094  6.26082338 -4.61133703  6.27805719
   6.27306435  5.22243189  2.83586991  0.30132908  0.72549497  3.943024
   6.27985915  4.73667502  4.35855242  4.55472072  4.59984789  2.96473752
   6.28295147  6.27952062  0.5333501  -5.35615326 -1.46177243 -2.83616588
  -2.45361947 -2.07741087 -0.22995936  6.23050483  1.15677076  1.22175231
   1.23572074  6.27527972]]",0.9785491438889586,0.021450856111041396
2.7120597830588185e-09,"[[ 5.73818467 -0.11045732  1.11653473  6.27878501  6.27660303 -1.71561936
  -0.29984916  0.34535782  0.19797556  0.41166117  3.75191038 -1.3266863
   6.2774312   6.2771449  -1.0219596   1.60499661 -1.44863412  6.28279766
  -3.25258831 -1.30838877  6.22376255  2.31539177 -1.60848557 -2.35567927
   4.40154786  5.58919674  5.88991338  6.28316514  4.86466732  4.00746672
   6.27644175 -0.94110899  6.27980122 -0.29066852 -0.75689613  1.4130446
   3.6561885   6.28259365 -1.33248888  4.41998618 -0.22438019 -0.07032963
   6.28217855  6.27920964  1.31049028 -5.49715103  6.27481224  3.78005725
   2.96338398 -2.77162859]]",0.971915852968428,0.028084147031571964
3.7110418325233726e-08,"[[ 4.32497025  0.46679712  4.24794059 -1.05190669  4.47640522 -0.94515563
   6.27816105  0.31879087 -0.67598739  2.81193502 -1.36222386  6.27919567
   2.86526149  3.86208871  6.26728161  6.28248437  5.38029999  6.28294451
   6.28228371  2.31219433  4.28911495  6.2639059  -0.89768612  4.49171824
   0.53618446  1.12353644  5.40931442  6.28297874 -0.65695823  0.14452995
   3.77682834  5.19674862  6.27722384  0.80857856 -1.24261537  2.37364366
  -0.18159299  2.41451957  6.28294134  0.67286893 -1.05265069 -3.34060163
   0.29491855  2.55660724  6.28001377  5.08790724  3.50242217 -2.6473501
  -0.7199298   1.8327705 ]]",0.9038657537954217,0.09613424620457824
2.8472052343179976e-10,"[[-2.17358876  1.43068468  6.25873474  6.26978597 -1.45729643  6.25269452
   6.26329796  1.422839    2.06459305  0.81885221  6.25685853  1.17006925
   4.65179062  6.27015904 -0.78187305  6.27662568 -3.07694324  0.94587904
   5.73374699  6.28315921  6.2819921  -0.13350614 -2.85154185  6.28318375
  -2.39953377  3.01178037  4.90644699  6.27975553  2.94140305 -4.41610102
  -2.99292515 -2.62491366  4.07360281  1.64378117  1.52180895  6.28031335
   6.22667067  4.3829754   3.77591622  4.48556235 -0.69174193  4.85646362
   0.67008857  5.80885177  6.28315172 -3.05793771  6.2643023  -1.11479953
   3.53953521 -1.08271943]]",0.9503091138235213,0.04969088617647879
5.2060846167746695e-09,"[[ 3.78007611 -2.05447318  2.63366229  6.2776047   6.28307344  1.35937666
   4.2270874  -0.21246576  1.9372761   0.20917808  0.66183029  6.28196729
   6.25201636 -2.43319218  1.57923386  6.27286897  6.27828951  5.20339755
  -3.42299177  0.7877664   6.27994601  6.25255507  0.70064683  5.08390781
   4.5101283   1.37807672  1.70069864  6.27897309  5.01181964  6.24802221
   6.23667206  1.96791186  5.39650601  6.26732996 -0.63886746  6.2653306
  -2.36095566  2.81128146 -3.53589183  1.50505809  5.7005626   3.96414723
   6.25324218  6.26309042  6.2714418  -2.60276114  6.27527473 -4.97088748
  -0.9516207  -2.93268657]]",0.9888318574561665,0.01116814254383343
1.1561360649985765e-19,"[[2.88381744 2.78556629 2.75599418 2.82283853 2.78602026 2.81665133
  2.80507847 2.8378869  2.79862026 2.80811161 2.80277653 2.75069506
  2.85682766 2.82700842 2.80863064 2.77872816 2.85539755 2.80410678
  2.74596764 2.76876263 2.83304697 2.74447119 2.74033859 2.75357006
  2.8425204  2.794305   2.78891574 2.72659004 2.77863942 2.75415164
  2.79862685 2.841571   2.79830368 2.8671913  2.80042528 2.72855688
  2.75041976 2.76328338 2.85107812 2.77632162 2.74813063 2.81059773
  2.71734741 2.84538555 2.80566183 2.79051703 2.77839063 2.84573843
  2.89018261 2.88301794]]",0.9463389570011772,0.05366104299882281
1.9500374848695634e-20,"[[-1.19395437 -1.19407572 -1.19396362 -1.19395341 -1.19395379 -1.19396069
  -1.19397784 -1.19396169 -1.19395346 -1.19394589 -1.19396237 -1.19395416
  -1.19402863 -1.19396489 -1.19395498 -1.1936358  -1.1939491  -1.19394154
  -1.19383257 -1.19395799 -1.193959   -1.19395952 -1.19399848 -1.19395782
  -1.19396994 -1.19395336 -1.19395514 -1.19395605 -1.19399767 -1.19395543
  -1.19397038 -1.1939428  -1.19396063 -1.19397124 -1.19395898 -1.19388853
  -1.19384353 -1.19395359 -1.19395846 -1.19390807 -1.19383987 -1.19396708
  -1.19395903 -1.19395502 -1.19400464 -1.19379036 -1.19393418 -1.19381828
  -1.19398274 -1.19395715]]",0.7525704573488154,0.24742954265118455
6.086886247551175e-10,"[[ 6.26022318  4.89151715  6.2709003   6.28254232  6.28096031 -1.55687874
   6.27385409  4.79602177  2.77334     4.75633836  6.27667997  6.26197997
   6.26956874  6.25545853  1.53663318  0.11588641  6.26387178  0.65622885
   1.46559527 -1.01132293 -2.76156294  5.06427166  6.27885582  4.56453331
   3.55918197  6.28279972 -1.11905051 -3.58157608  2.44375634  6.28234311
  -1.92571428  6.27549987  3.49125033  6.28301143 -0.65121191 -1.49287729
   6.25189182  6.28315745  4.78678494 -0.30650241 -1.65914195  5.26692415
   1.99542557  3.73864757  6.27263812  3.52239378  0.74739114 -3.77020042
   5.18198657  4.67303003]]",0.9944459054658625,0.00555409453413731
9.604004790029176e-16,"[[-0.40326042 -0.80916924  0.42266527 -0.85177076  1.0649573  -0.71891162
   1.03239688  1.07823889  1.96647556  1.25267011  0.88143848  1.10627793
   1.25396981  1.22237207  1.23604742 -0.30278035  1.1801795   1.30511197
   1.09004213  1.31840763  1.07697668  1.47516667  1.25322513 -0.27710295
   1.41717525  0.96430722  0.96969017  1.35240149  1.66503013  1.07878625
  -0.62255419  1.22090607  1.16538172  1.30678464  1.14240695  0.84512918
   1.0679506   1.10024586  1.41129997 -1.4417822   1.54806307  1.04043843
   1.26027129  0.75930028  0.97668529  1.41286398  1.30035332  1.1829269
   2.78280653  1.43197318]]",0.9620971521896408,0.03790284781035922
3.558923419022018e-10,"[[ 6.28130687  3.91314234  2.69857015  0.87263779  4.21985045  2.48985363
  -1.10441483  5.8173349  -1.11648373  2.94237546  5.15205418  6.27308842
  -0.87457761  0.50488712 -2.73401634 -2.71964289  5.79444237  0.10200025
   6.05224243  1.23869155  4.54646678  6.2770575   6.2825742  -0.71537167
   6.28279923  6.28092324  1.22767962  6.28192628 -0.27664743  2.37758786
   1.87475272  5.59164127 -3.91318953  2.64537559  6.28031388  3.73926371
   5.73436748 -0.25453317 -1.10248937  4.83324103  0.4623843   6.28201178
   3.68656835  3.08248965 -3.24726846  6.28088948  1.3126251   0.80366213
   6.27926277  2.78642076]]",0.9162092959396881,0.08379070406031186
5.67431259564142e-20,"[[2.7713582  2.77132361 2.77134189 2.77136091 2.77132357 2.77136313
  2.77134027 2.77135975 2.77135504 2.77136274 2.77125018 2.77131759
  2.77135768 2.77096359 2.77134619 2.77136202 2.77134883 2.77135103
  2.77136228 2.77133533 2.77136348 2.77135039 2.77134778 2.77136305
  2.77136228 2.77135231 2.77136261 2.77121343 2.77125012 2.77132728
  2.77136024 2.7713517  2.77135914 2.77133225 2.77135719 2.77134701
  2.77119371 2.77136022 2.77133735 2.77135801 2.77136298 2.77135592
  2.77136346 2.77133841 2.77135564 2.77100003 2.77134877 2.77126615
  2.7712178  2.77134323]]",0.9692382239715657,0.030761776028434166
4.6302365128731295e-10,"[[ 0.60982848  5.04516107  6.28312391  6.278309    6.26881748  6.28102022
  -0.89212838  6.2773869   6.27122401  2.21256    -1.78200491  6.28245708
   6.28184253  6.27330463 -5.14163703  2.77665798 -3.27907047  6.12866104
  -1.7430675   6.2824826  -2.95177044  4.99184087  5.27590387  0.20221952
   1.3506212   2.77663523  6.27831784  6.283129    6.28026543 -0.45690143
   5.19808039  6.28316081  5.8751063  -3.75568416  6.27740811  4.76144797
   1.61700898  1.77247295  3.76716031  6.27960562 -3.81191811  0.44104927
  -3.68636806  6.28090269 -2.55403442 -3.51392878  6.28259753 -3.24236052
  -1.55757537 -0.22773147]]",0.9064091921894029,0.09359080781059724
1.597485042428308e-08,"[[ 5.22562463  3.507651    3.1246434   1.27373003  5.47067786 -2.60631308
   4.54623076  2.54190455  6.23935607  3.71231429  4.13330854  5.73743805
  -5.20508457  3.86576362 -3.98769995 -3.65018757 -5.00638752  6.23012612
   3.46150414  4.39580415  1.90186425  3.60173848  4.47034484  6.28222424
  -0.45495653 -1.49534348 -1.14837325  6.21774057  4.13682496  4.09998507
   6.25876004  1.24138941  6.26631564  4.43722463 -0.46592573  5.24827323
   6.27821353  6.28292649  4.37313042  6.26723588  1.97110404  6.26922274
   2.63457176  6.21921088  0.16075465  6.28243153  1.56820997  2.72645983
   2.92369804  6.28220946]]",0.9337211818066664,0.06627881819333359
2.4459202378696817e-14,"[[ 1.1672438   1.16292367  1.224478    1.17137901  1.78247223  1.48688105
   1.12907653 -1.10504269  0.98251966  1.10237997  1.55295704 -1.62822546
   1.09861563  1.51722691  1.97987833  1.11664929  1.28818906  1.16248394
   0.42156219  1.14282169  0.9123625   1.30738742  1.21475768  2.94515009
   1.35487862  2.40320944  3.031948    1.20691596  1.09859507  0.87963756
   2.54996405  0.75847866 -0.18459074  1.12194949  1.19733651  1.25727037
   0.85202354  1.32608818  1.17318736  1.04356511  0.79757349  1.21448686
   1.06380451  1.41421011  0.07469034  0.86537164  1.38360651  1.16675133
   1.07720053  0.14018358]]",0.836197010215511,0.1638029897844891
1.5748286986014973e-10,"[[ 6.25108843  1.82472865  6.27683317  6.26519187  2.79385412  6.2342297
   6.27809382 -2.99153045  6.23216428  3.53855098  1.2086459   1.55272607
   5.19326461 -1.91040096 -3.12679879  6.24065739 -0.61208328  1.82801558
   1.5489675   5.42206393  5.38405809  5.39219309  6.26651205  5.16552967
  -1.78842745  1.00301508 -1.74831516  5.23204669  1.45511221 -0.85986876
   6.27606087 -2.74809311  5.8161051   1.56592636 -1.06654395  5.18778796
   1.21027686 -0.36481032  6.2830691  -0.28442088 -1.56600208  6.28284965
  -0.68347124  2.85444899  6.28121531  6.21176549 -0.86001908  6.21310364
   0.66075846  0.48918018]]",0.9851733475243711,0.014826652475628982
